Gene,F_score,p_value,p_value_FDR,Rejected_FDR_0.05
SCGB1D2,557.1003251391962,0.0,0.0,True
COL7A1,556.8617804965018,0.0,0.0,True
ITGA3,555.927184330534,0.0,0.0,True
ATP8A1,555.3940541321558,0.0,0.0,True
PRUNE2,555.1084946921088,0.0,0.0,True
HOXC13,554.7011092165055,0.0,0.0,True
PRLR,554.5218774426725,0.0,0.0,True
SERPINB3,553.9725123703107,0.0,0.0,True
CYP3A5,553.3950127131619,0.0,0.0,True
DLX5,552.2233566555934,0.0,0.0,True
ANKRD40CL,552.1183955010508,0.0,0.0,True
RXRG,550.6731345070889,0.0,0.0,True
HAS3,550.2322181542622,0.0,0.0,True
SLC5A9,549.0942706206317,0.0,0.0,True
HMGA1,548.6879293880065,0.0,0.0,True
HAAO,546.4697993353391,0.0,0.0,True
CLDN8,545.6691246912923,0.0,0.0,True
EDNRB,545.5344753152856,0.0,0.0,True
EFS,544.5201644786418,0.0,0.0,True
TMEM243,542.8017170761423,0.0,0.0,True
LYPD6B,542.0771886869913,0.0,0.0,True
CDKL2,540.763755615815,0.0,0.0,True
KLF15,540.5052186739179,0.0,0.0,True
FAM181A,540.0797346836247,0.0,0.0,True
IGFBP1,539.9958190685908,0.0,0.0,True
PCK1,539.7981247369414,0.0,0.0,True
RGS5,538.8263272517066,0.0,0.0,True
GALNT12,538.3636593104549,0.0,0.0,True
GALNT3,537.3984349087797,0.0,0.0,True
TFPI,536.8556665710681,0.0,0.0,True
PLPP1,536.8344117935078,0.0,0.0,True
RANBP3L,535.9040852267392,0.0,0.0,True
ABCC4,535.6815933512352,0.0,0.0,True
VIL1,533.1851175152468,0.0,0.0,True
ADGRF4,532.7861578278839,0.0,0.0,True
CUX2,532.490049090212,0.0,0.0,True
ST3GAL5,532.4558610395188,0.0,0.0,True
DTL,531.6745140742464,0.0,0.0,True
ZBTB16,530.9386199176134,0.0,0.0,True
SLC43A1,530.9271207648828,0.0,0.0,True
ATP13A4,530.8246651525226,0.0,0.0,True
CLDN18,530.7123292827171,0.0,0.0,True
ABCG8,530.542410381552,0.0,0.0,True
MET,529.9287181049272,0.0,0.0,True
CBX7,528.9680524680193,0.0,0.0,True
ZNF827,528.2274291328288,0.0,0.0,True
AOX1,528.2190125314116,0.0,0.0,True
